V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	Q1	Q2	Q3	Q4	Q5	Q6	Q7_5	Q7_6	Q7_7	Q7_8	Q7_9	Q7_10	Q7_11	Q7_12	Q7_13	Q7_14	Q7_16	Q7_17	Q7_18	Q7_20	Q7_21	Q7_22	Q7_23	Q7_24	Q7_25	Q7_26	Q7_27	Q8	Q9	Q10	Q11	Q12_1	Q12_2	Q12_3	Q12_5	Q12_6	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q17_1	Q17_2	Q17_3	Q17_4	Q17_5	Q14	Q15	LocationLatitude	LocationLongitude	LocationAccuracy
R_dnUS9CB624qWGZD	Default Response Set	Anonymous			172.56.10.128	0	3/7/2016 16:41	3/7/2016 16:43	1	1	2	3	5	2	2	3	3	3	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	3	Comedy videos	2	4					1			1						1		Somewhat	To some extent	42.36790466	-83.13860321	-1
R_1MMrel8c8wzEixL	Default Response Set	Anonymous			68.61.169.30	0	3/7/2016 20:27	3/7/2016 20:36	1	1	2	2	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	Chatting with girls	2	4			1				1							1		Not too much	Nothing	43.07380676	-83.8608017	-1
R_0MrNchadOMTKU29	Default Response Set	Anonymous			27.97.212.28	0	3/7/2016 22:32	3/7/2016 22:36	1	1	2	1	4	1	2																												1															17.37530518	78.47439575	-1
R_4NiHjJxkUmq0ukR	Default Response Set	Anonymous			73.51.168.121	0	3/8/2016 0:14	3/8/2016 0:24	1	1	3	4	5	1	2	2	2	2	2	2	2	2	2	3	3	4	4	1	4	3	3	1	1	1	1	1	3		2	4		1							1					1				42.26669312	-88.05079651	-1
R_doqHA34cWUQ7XwN	Default Response Set	Anonymous			106.220.198.28	0	3/8/2016 0:04	3/8/2016 0:29	1	1	3	4	4	2	1	1	1																				4		4	4				1			1	1						1				17.37530518	78.47439575	-1
R_e3P6ON9kvzqk9k9	Default Response Set	Anonymous			106.220.221.67	0	3/8/2016 0:49	3/8/2016 0:51	1	1	2	2	4	2	1	2	1	2	2	3	3	1	3	2	2	2	1	2	3	2	1	2	2	2	3	2	4		2	4			1						1					1				17.37530518	78.47439575	-1
R_bPIoOadLDp4cs3X	Default Response Set	Anonymous			115.246.86.123	0	3/8/2016 5:33	3/8/2016 5:40	1	1	2	4	4	2	3	2	1	1	3	2	2	1	3	2	2	3	3	3	4	3	2	3	3	3	1	1	4	You ll get what you want	1	1					1					1					1	Nothing	Nothing	18.9750061	72.82580566	-1
R_8vP8m7NNLjapgH3	Default Response Set	Anonymous			141.216.167.131	0	3/8/2016 9:50	3/8/2016 9:51	1	2	2	4	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	Funny videos	2	2		1					1								1	Nothing like that	No nothing like that	43.01379395	-83.68830109	-1
R_cBF6PsWKZ7RZYrz	Default Response Set	Anonymous			43.249.226.77	0	3/8/2016 12:51	3/8/2016 12:56	1	1	2	2	4	1	2				3												4	2			1		4	Nothing 	1	4			1						1				1	1				17.37530518	78.47439575	-1
R_5sxU4JX8bt7kPM9	Default Response Set	Anonymous			141.216.160.80	0	3/8/2016 12:45	3/8/2016 13:36	1	2	2	3	3	3	2	1		2	1	2		1		1													2	"I met my boy friend through facebook, when he proposed me.It was the happiest moment ever in my life"	2	3		1	1				1		1			1	1			There is no effect on my education		43.01379395	-83.68830109	-1
